Participant,Session,List,Task,Word,Block,Score
1,1,A,Adaptive,patito,1,0
1,1,A,Adaptive,patito,2,0
1,1,A,Adaptive,patito,3,1
1,1,A,Adaptive,patito,4,1
1,1,A,Adaptive,patito,5,1
1,1,A,Adaptive,patira,1,0
1,1,A,Adaptive,patira,2,0
1,1,A,Adaptive,patira,3,0
1,1,A,Adaptive,patira,4,0
1,1,A,Adaptive,patira,5,0
1,1,A,Adaptive,patizi,1,0
1,1,A,Adaptive,patizi,2,1
1,1,A,Adaptive,patizi,3,1
1,1,A,Adaptive,patizi,4,1
1,1,A,Adaptive,patizi,5,1
1,1,A,Adaptive,pacore,1,1
1,1,A,Adaptive,pacore,2,1
1,1,A,Adaptive,pacore,3,1
1,1,A,Adaptive,pacore,4,1
1,1,A,Adaptive,pacore,5,1
1,1,A,Adaptive,panire,1,0
1,1,A,Adaptive,panire,2,0
1,1,A,Adaptive,panire,3,1
1,1,A,Adaptive,panire,4,1
1,1,A,Adaptive,panire,5,0
1,1,A,Adaptive,pahare,1,1
1,1,A,Adaptive,pahare,2,1
1,1,A,Adaptive,pahare,3,1
1,1,A,Adaptive,pahare,4,1
1,1,A,Adaptive,pahare,5,0
1,1,A,Adaptive,detire,1,0
1,1,A,Adaptive,detire,2,0
1,1,A,Adaptive,detire,3,1
1,1,A,Adaptive,detire,4,0
1,1,A,Adaptive,detire,5,1
1,1,A,Adaptive,cotire,1,0
1,1,A,Adaptive,cotire,2,0
1,1,A,Adaptive,cotire,3,1
1,1,A,Adaptive,cotire,4,1
1,1,A,Adaptive,cotire,5,1
1,1,A,Adaptive,sutire,1,0
1,1,A,Adaptive,sutire,2,0
1,1,A,Adaptive,sutire,3,1
1,1,A,Adaptive,sutire,4,0
1,1,A,Adaptive,sutire,5,1
1,1,A,Adaptive,socuo,1,1
1,1,A,Adaptive,socuo,2,0
1,1,A,Adaptive,socuo,3,1
1,1,A,Adaptive,socuo,4,0
1,1,A,Adaptive,socuo,5,0
1,1,A,Adaptive,socuti,1,0
1,1,A,Adaptive,socuti,2,0
1,1,A,Adaptive,socuti,3,1
1,1,A,Adaptive,socuti,4,1
1,1,A,Adaptive,socuti,5,0
1,1,A,Adaptive,socule,1,0
1,1,A,Adaptive,socule,2,0
1,1,A,Adaptive,socule,3,1
1,1,A,Adaptive,socule,4,1
1,1,A,Adaptive,socule,5,1
1,1,A,Adaptive,soiata,1,0
1,1,A,Adaptive,soiata,2,0
1,1,A,Adaptive,soiata,3,1
1,1,A,Adaptive,soiata,4,1
1,1,A,Adaptive,soiata,5,1
1,1,A,Adaptive,sorta,1,0
1,1,A,Adaptive,sorta,2,1
1,1,A,Adaptive,sorta,3,1
1,1,A,Adaptive,sorta,4,1
1,1,A,Adaptive,sorta,5,1
1,1,A,Adaptive,soetta,1,0
1,1,A,Adaptive,soetta,2,1
1,1,A,Adaptive,soetta,3,1
1,1,A,Adaptive,soetta,4,1
1,1,A,Adaptive,soetta,5,0
1,1,A,Adaptive,ficuta,1,0
1,1,A,Adaptive,ficuta,2,1
1,1,A,Adaptive,ficuta,3,1
1,1,A,Adaptive,ficuta,4,1
1,1,A,Adaptive,ficuta,5,1
1,1,A,Adaptive,scuta,1,0
1,1,A,Adaptive,scuta,2,0
1,1,A,Adaptive,scuta,3,0
1,1,A,Adaptive,scuta,4,0
1,1,A,Adaptive,scuta,5,1
1,1,A,Adaptive,pecuta,1,1
1,1,A,Adaptive,pecuta,2,0
1,1,A,Adaptive,pecuta,3,0
1,1,A,Adaptive,pecuta,4,1
1,1,A,Adaptive,pecuta,5,1
1,1,A,Adaptive,anbera,1,0
1,1,A,Adaptive,anbera,2,0
1,1,A,Adaptive,anbera,3,1
1,1,A,Adaptive,anbera,4,1
1,1,A,Adaptive,anbera,5,1
1,1,A,Adaptive,anbetu,1,0
1,1,A,Adaptive,anbetu,2,0
1,1,A,Adaptive,anbetu,3,0
1,1,A,Adaptive,anbetu,4,1
1,1,A,Adaptive,anbetu,5,1
1,1,A,Adaptive,anbesi,1,0
1,1,A,Adaptive,anbesi,2,0
1,1,A,Adaptive,anbesi,3,1
1,1,A,Adaptive,anbesi,4,1
1,1,A,Adaptive,anbesi,5,1
1,1,A,Adaptive,ancano,1,1
1,1,A,Adaptive,ancano,2,0
1,1,A,Adaptive,ancano,3,0
1,1,A,Adaptive,ancano,4,1
1,1,A,Adaptive,ancano,5,1
1,1,A,Adaptive,andono,1,0
1,1,A,Adaptive,andono,2,0
1,1,A,Adaptive,andono,3,1
1,1,A,Adaptive,andono,4,1
1,1,A,Adaptive,andono,5,1
1,1,A,Adaptive,anuino,1,0
1,1,A,Adaptive,anuino,2,0
1,1,A,Adaptive,anuino,3,1
1,1,A,Adaptive,anuino,4,1
1,1,A,Adaptive,anuino,5,1
1,1,A,Adaptive,rebeno,1,1
1,1,A,Adaptive,rebeno,2,1
1,1,A,Adaptive,rebeno,3,1
1,1,A,Adaptive,rebeno,4,1
1,1,A,Adaptive,rebeno,5,1
1,1,A,Adaptive,sibeno,1,0
1,1,A,Adaptive,sibeno,2,1
1,1,A,Adaptive,sibeno,3,1
1,1,A,Adaptive,sibeno,4,1
1,1,A,Adaptive,sibeno,5,1
1,1,A,Adaptive,cubeno,1,1
1,1,A,Adaptive,cubeno,2,1
1,1,A,Adaptive,cubeno,3,1
1,1,A,Adaptive,cubeno,4,1
1,1,A,Adaptive,cubeno,5,1
1,2,B,Static,chareka,1,0
1,2,B,Static,chareka,2,0
1,2,B,Static,chareka,3,0
1,2,B,Static,chareka,4,0
1,2,B,Static,chareka,5,0
1,2,B,Static,charezo,1,0
1,2,B,Static,charezo,2,0
1,2,B,Static,charezo,3,0
1,2,B,Static,charezo,4,0
1,2,B,Static,charezo,5,0
1,2,B,Static,charete,1,0
1,2,B,Static,charete,2,1
1,2,B,Static,charete,3,1
1,2,B,Static,charete,4,1
1,2,B,Static,charete,5,1
1,2,B,Static,chauri,1,0
1,2,B,Static,chauri,2,0
1,2,B,Static,chauri,3,0
1,2,B,Static,chauri,4,1
1,2,B,Static,chauri,5,1
1,2,B,Static,chakori,1,1
1,2,B,Static,chakori,2,1
1,2,B,Static,chakori,3,1
1,2,B,Static,chakori,4,1
1,2,B,Static,chakori,5,1
1,2,B,Static,chamari,1,1
1,2,B,Static,chamari,2,1
1,2,B,Static,chamari,3,1
1,2,B,Static,chamari,4,1
1,2,B,Static,chamari,5,1
1,2,B,Static,lireri,1,0
1,2,B,Static,lireri,2,0
1,2,B,Static,lireri,3,0
1,2,B,Static,lireri,4,1
1,2,B,Static,lireri,5,0
1,2,B,Static,moreri,1,0
1,2,B,Static,moreri,2,0
1,2,B,Static,moreri,3,0
1,2,B,Static,moreri,4,0
1,2,B,Static,moreri,5,0
1,2,B,Static,apreri,1,1
1,2,B,Static,apreri,2,0
1,2,B,Static,apreri,3,1
1,2,B,Static,apreri,4,1
1,2,B,Static,apreri,5,1
1,2,B,Static,fiante,1,0
1,2,B,Static,fiante,2,0
1,2,B,Static,fiante,3,0
1,2,B,Static,fiante,4,0
1,2,B,Static,fiante,5,1
1,2,B,Static,fiani,1,0
1,2,B,Static,fiani,2,0
1,2,B,Static,fiani,3,0
1,2,B,Static,fiani,4,0
1,2,B,Static,fiani,5,0
1,2,B,Static,fianca,1,1
1,2,B,Static,fianca,2,0
1,2,B,Static,fianca,3,1
1,2,B,Static,fianca,4,0
1,2,B,Static,fianca,5,1
1,2,B,Static,fipito,1,1
1,2,B,Static,fipito,2,1
1,2,B,Static,fipito,3,0
1,2,B,Static,fipito,4,0
1,2,B,Static,fipito,5,0
1,2,B,Static,fiato,1,0
1,2,B,Static,fiato,2,0
1,2,B,Static,fiato,3,0
1,2,B,Static,fiato,4,1
1,2,B,Static,fiato,5,1
1,2,B,Static,fimuto,1,1
1,2,B,Static,fimuto,2,0
1,2,B,Static,fimuto,3,1
1,2,B,Static,fimuto,4,1
1,2,B,Static,fimuto,5,1
1,2,B,Static,canto,1,1
1,2,B,Static,canto,2,1
1,2,B,Static,canto,3,1
1,2,B,Static,canto,4,1
1,2,B,Static,canto,5,1
1,2,B,Static,esanto,1,0
1,2,B,Static,esanto,2,1
1,2,B,Static,esanto,3,1
1,2,B,Static,esanto,4,1
1,2,B,Static,esanto,5,1
1,2,B,Static,peanto,1,1
1,2,B,Static,peanto,2,1
1,2,B,Static,peanto,3,1
1,2,B,Static,peanto,4,1
1,2,B,Static,peanto,5,1
1,2,B,Static,estome,1,0
1,2,B,Static,estome,2,0
1,2,B,Static,estome,3,0
1,2,B,Static,estome,4,0
1,2,B,Static,estome,5,0
1,2,B,Static,estowa,1,1
1,2,B,Static,estowa,2,0
1,2,B,Static,estowa,3,0
1,2,B,Static,estowa,4,0
1,2,B,Static,estowa,5,0
1,2,B,Static,estosi,1,0
1,2,B,Static,estosi,2,0
1,2,B,Static,estosi,3,0
1,2,B,Static,estosi,4,1
1,2,B,Static,estosi,5,1
1,2,B,Static,esperu,1,0
1,2,B,Static,esperu,2,0
1,2,B,Static,esperu,3,1
1,2,B,Static,esperu,4,0
1,2,B,Static,esperu,5,0
1,2,B,Static,escaru,1,0
1,2,B,Static,escaru,2,0
1,2,B,Static,escaru,3,1
1,2,B,Static,escaru,4,1
1,2,B,Static,escaru,5,0
1,2,B,Static,esturu,1,0
1,2,B,Static,esturu,2,1
1,2,B,Static,esturu,3,0
1,2,B,Static,esturu,4,0
1,2,B,Static,esturu,5,0
1,2,B,Static,imtoru,1,0
1,2,B,Static,imtoru,2,0
1,2,B,Static,imtoru,3,0
1,2,B,Static,imtoru,4,0
1,2,B,Static,imtoru,5,1
1,2,B,Static,netoru,1,0
1,2,B,Static,netoru,2,1
1,2,B,Static,netoru,3,1
1,2,B,Static,netoru,4,1
1,2,B,Static,netoru,5,1
1,2,B,Static,rotoru,1,0
1,2,B,Static,rotoru,2,0
1,2,B,Static,rotoru,3,1
1,2,B,Static,rotoru,4,1
1,2,B,Static,rotoru,5,0
2,1,A,Static,patito,1,0
2,1,A,Static,patito,2,0
2,1,A,Static,patito,3,1
2,1,A,Static,patito,4,0
2,1,A,Static,patito,5,0
2,1,A,Static,patira,1,0
2,1,A,Static,patira,2,0
2,1,A,Static,patira,3,1
2,1,A,Static,patira,4,0
2,1,A,Static,patira,5,0
2,1,A,Static,patizi,1,1
2,1,A,Static,patizi,2,1
2,1,A,Static,patizi,3,1
2,1,A,Static,patizi,4,1
2,1,A,Static,patizi,5,1
2,1,A,Static,pacore,1,0
2,1,A,Static,pacore,2,1
2,1,A,Static,pacore,3,1
2,1,A,Static,pacore,4,1
2,1,A,Static,pacore,5,1
2,1,A,Static,panire,1,0
2,1,A,Static,panire,2,1
2,1,A,Static,panire,3,0
2,1,A,Static,panire,4,1
2,1,A,Static,panire,5,1
2,1,A,Static,pahare,1,0
2,1,A,Static,pahare,2,0
2,1,A,Static,pahare,3,1
2,1,A,Static,pahare,4,0
2,1,A,Static,pahare,5,1
2,1,A,Static,detire,1,0
2,1,A,Static,detire,2,0
2,1,A,Static,detire,3,1
2,1,A,Static,detire,4,0
2,1,A,Static,detire,5,1
2,1,A,Static,cotire,1,0
2,1,A,Static,cotire,2,0
2,1,A,Static,cotire,3,1
2,1,A,Static,cotire,4,0
2,1,A,Static,cotire,5,0
2,1,A,Static,sutire,1,0
2,1,A,Static,sutire,2,1
2,1,A,Static,sutire,3,0
2,1,A,Static,sutire,4,0
2,1,A,Static,sutire,5,1
2,1,A,Static,socuo,1,0
2,1,A,Static,socuo,2,1
2,1,A,Static,socuo,3,1
2,1,A,Static,socuo,4,0
2,1,A,Static,socuo,5,0
2,1,A,Static,socuti,1,1
2,1,A,Static,socuti,2,1
2,1,A,Static,socuti,3,1
2,1,A,Static,socuti,4,1
2,1,A,Static,socuti,5,1
2,1,A,Static,socule,1,0
2,1,A,Static,socule,2,0
2,1,A,Static,socule,3,0
2,1,A,Static,socule,4,1
2,1,A,Static,socule,5,0
2,1,A,Static,soiata,1,0
2,1,A,Static,soiata,2,0
2,1,A,Static,soiata,3,0
2,1,A,Static,soiata,4,0
2,1,A,Static,soiata,5,0
2,1,A,Static,sorta,1,1
2,1,A,Static,sorta,2,1
2,1,A,Static,sorta,3,0
2,1,A,Static,sorta,4,1
2,1,A,Static,sorta,5,1
2,1,A,Static,soetta,1,0
2,1,A,Static,soetta,2,0
2,1,A,Static,soetta,3,1
2,1,A,Static,soetta,4,1
2,1,A,Static,soetta,5,1
2,1,A,Static,ficuta,1,1
2,1,A,Static,ficuta,2,0
2,1,A,Static,ficuta,3,1
2,1,A,Static,ficuta,4,0
2,1,A,Static,ficuta,5,1
2,1,A,Static,scuta,1,1
2,1,A,Static,scuta,2,0
2,1,A,Static,scuta,3,1
2,1,A,Static,scuta,4,1
2,1,A,Static,scuta,5,0
2,1,A,Static,pecuta,1,0
2,1,A,Static,pecuta,2,0
2,1,A,Static,pecuta,3,0
2,1,A,Static,pecuta,4,1
2,1,A,Static,pecuta,5,1
2,1,A,Static,anbera,1,1
2,1,A,Static,anbera,2,1
2,1,A,Static,anbera,3,1
2,1,A,Static,anbera,4,1
2,1,A,Static,anbera,5,1
2,1,A,Static,anbetu,1,0
2,1,A,Static,anbetu,2,1
2,1,A,Static,anbetu,3,1
2,1,A,Static,anbetu,4,0
2,1,A,Static,anbetu,5,1
2,1,A,Static,anbesi,1,0
2,1,A,Static,anbesi,2,1
2,1,A,Static,anbesi,3,1
2,1,A,Static,anbesi,4,0
2,1,A,Static,anbesi,5,0
2,1,A,Static,ancano,1,1
2,1,A,Static,ancano,2,1
2,1,A,Static,ancano,3,0
2,1,A,Static,ancano,4,1
2,1,A,Static,ancano,5,1
2,1,A,Static,andono,1,0
2,1,A,Static,andono,2,0
2,1,A,Static,andono,3,1
2,1,A,Static,andono,4,1
2,1,A,Static,andono,5,1
2,1,A,Static,anuino,1,0
2,1,A,Static,anuino,2,0
2,1,A,Static,anuino,3,1
2,1,A,Static,anuino,4,0
2,1,A,Static,anuino,5,0
2,1,A,Static,rebeno,1,0
2,1,A,Static,rebeno,2,0
2,1,A,Static,rebeno,3,0
2,1,A,Static,rebeno,4,0
2,1,A,Static,rebeno,5,1
2,1,A,Static,sibeno,1,0
2,1,A,Static,sibeno,2,0
2,1,A,Static,sibeno,3,1
2,1,A,Static,sibeno,4,1
2,1,A,Static,sibeno,5,1
2,1,A,Static,cubeno,1,0
2,1,A,Static,cubeno,2,1
2,1,A,Static,cubeno,3,0
2,1,A,Static,cubeno,4,0
2,1,A,Static,cubeno,5,1
2,2,B,Adaptive,chareka,1,0
2,2,B,Adaptive,chareka,2,0
2,2,B,Adaptive,chareka,3,0
2,2,B,Adaptive,chareka,4,1
2,2,B,Adaptive,chareka,5,0
2,2,B,Adaptive,charezo,1,1
2,2,B,Adaptive,charezo,2,0
2,2,B,Adaptive,charezo,3,1
2,2,B,Adaptive,charezo,4,1
2,2,B,Adaptive,charezo,5,0
2,2,B,Adaptive,charete,1,0
2,2,B,Adaptive,charete,2,1
2,2,B,Adaptive,charete,3,1
2,2,B,Adaptive,charete,4,1
2,2,B,Adaptive,charete,5,1
2,2,B,Adaptive,chauri,1,0
2,2,B,Adaptive,chauri,2,1
2,2,B,Adaptive,chauri,3,1
2,2,B,Adaptive,chauri,4,1
2,2,B,Adaptive,chauri,5,1
2,2,B,Adaptive,chakori,1,0
2,2,B,Adaptive,chakori,2,1
2,2,B,Adaptive,chakori,3,1
2,2,B,Adaptive,chakori,4,1
2,2,B,Adaptive,chakori,5,1
2,2,B,Adaptive,chamari,1,0
2,2,B,Adaptive,chamari,2,1
2,2,B,Adaptive,chamari,3,1
2,2,B,Adaptive,chamari,4,0
2,2,B,Adaptive,chamari,5,1
2,2,B,Adaptive,lireri,1,0
2,2,B,Adaptive,lireri,2,1
2,2,B,Adaptive,lireri,3,1
2,2,B,Adaptive,lireri,4,1
2,2,B,Adaptive,lireri,5,1
2,2,B,Adaptive,moreri,1,0
2,2,B,Adaptive,moreri,2,0
2,2,B,Adaptive,moreri,3,1
2,2,B,Adaptive,moreri,4,1
2,2,B,Adaptive,moreri,5,1
2,2,B,Adaptive,apreri,1,0
2,2,B,Adaptive,apreri,2,0
2,2,B,Adaptive,apreri,3,0
2,2,B,Adaptive,apreri,4,1
2,2,B,Adaptive,apreri,5,1
2,2,B,Adaptive,fiante,1,0
2,2,B,Adaptive,fiante,2,1
2,2,B,Adaptive,fiante,3,0
2,2,B,Adaptive,fiante,4,1
2,2,B,Adaptive,fiante,5,0
2,2,B,Adaptive,fiani,1,0
2,2,B,Adaptive,fiani,2,1
2,2,B,Adaptive,fiani,3,1
2,2,B,Adaptive,fiani,4,1
2,2,B,Adaptive,fiani,5,1
2,2,B,Adaptive,fianca,1,1
2,2,B,Adaptive,fianca,2,1
2,2,B,Adaptive,fianca,3,1
2,2,B,Adaptive,fianca,4,1
2,2,B,Adaptive,fianca,5,1
2,2,B,Adaptive,fipito,1,0
2,2,B,Adaptive,fipito,2,1
2,2,B,Adaptive,fipito,3,1
2,2,B,Adaptive,fipito,4,1
2,2,B,Adaptive,fipito,5,1
2,2,B,Adaptive,fiato,1,0
2,2,B,Adaptive,fiato,2,1
2,2,B,Adaptive,fiato,3,1
2,2,B,Adaptive,fiato,4,1
2,2,B,Adaptive,fiato,5,1
2,2,B,Adaptive,fimuto,1,0
2,2,B,Adaptive,fimuto,2,1
2,2,B,Adaptive,fimuto,3,0
2,2,B,Adaptive,fimuto,4,1
2,2,B,Adaptive,fimuto,5,1
2,2,B,Adaptive,canto,1,1
2,2,B,Adaptive,canto,2,1
2,2,B,Adaptive,canto,3,1
2,2,B,Adaptive,canto,4,0
2,2,B,Adaptive,canto,5,1
2,2,B,Adaptive,esanto,1,1
2,2,B,Adaptive,esanto,2,0
2,2,B,Adaptive,esanto,3,0
2,2,B,Adaptive,esanto,4,0
2,2,B,Adaptive,esanto,5,1
2,2,B,Adaptive,peanto,1,0
2,2,B,Adaptive,peanto,2,1
2,2,B,Adaptive,peanto,3,0
2,2,B,Adaptive,peanto,4,0
2,2,B,Adaptive,peanto,5,1
2,2,B,Adaptive,estome,1,1
2,2,B,Adaptive,estome,2,1
2,2,B,Adaptive,estome,3,1
2,2,B,Adaptive,estome,4,1
2,2,B,Adaptive,estome,5,1
2,2,B,Adaptive,estowa,1,1
2,2,B,Adaptive,estowa,2,1
2,2,B,Adaptive,estowa,3,1
2,2,B,Adaptive,estowa,4,1
2,2,B,Adaptive,estowa,5,1
2,2,B,Adaptive,estosi,1,0
2,2,B,Adaptive,estosi,2,1
2,2,B,Adaptive,estosi,3,1
2,2,B,Adaptive,estosi,4,1
2,2,B,Adaptive,estosi,5,1
2,2,B,Adaptive,esperu,1,0
2,2,B,Adaptive,esperu,2,1
2,2,B,Adaptive,esperu,3,1
2,2,B,Adaptive,esperu,4,0
2,2,B,Adaptive,esperu,5,1
2,2,B,Adaptive,escaru,1,0
2,2,B,Adaptive,escaru,2,0
2,2,B,Adaptive,escaru,3,0
2,2,B,Adaptive,escaru,4,0
2,2,B,Adaptive,escaru,5,1
2,2,B,Adaptive,esturu,1,0
2,2,B,Adaptive,esturu,2,0
2,2,B,Adaptive,esturu,3,1
2,2,B,Adaptive,esturu,4,0
2,2,B,Adaptive,esturu,5,1
2,2,B,Adaptive,imtoru,1,0
2,2,B,Adaptive,imtoru,2,1
2,2,B,Adaptive,imtoru,3,1
2,2,B,Adaptive,imtoru,4,0
2,2,B,Adaptive,imtoru,5,1
2,2,B,Adaptive,netoru,1,0
2,2,B,Adaptive,netoru,2,1
2,2,B,Adaptive,netoru,3,0
2,2,B,Adaptive,netoru,4,1
2,2,B,Adaptive,netoru,5,1
2,2,B,Adaptive,rotoru,1,0
2,2,B,Adaptive,rotoru,2,1
2,2,B,Adaptive,rotoru,3,0
2,2,B,Adaptive,rotoru,4,0
2,2,B,Adaptive,rotoru,5,1
3,2,A,Static,patito,1,0
3,2,A,Static,patito,2,1
3,2,A,Static,patito,3,1
3,2,A,Static,patito,4,1
3,2,A,Static,patito,5,1
3,2,A,Static,patira,1,0
3,2,A,Static,patira,2,1
3,2,A,Static,patira,3,1
3,2,A,Static,patira,4,1
3,2,A,Static,patira,5,1
3,2,A,Static,patizi,1,1
3,2,A,Static,patizi,2,1
3,2,A,Static,patizi,3,1
3,2,A,Static,patizi,4,1
3,2,A,Static,patizi,5,1
3,2,A,Static,pacore,1,0
3,2,A,Static,pacore,2,1
3,2,A,Static,pacore,3,1
3,2,A,Static,pacore,4,1
3,2,A,Static,pacore,5,1
3,2,A,Static,panire,1,0
3,2,A,Static,panire,2,1
3,2,A,Static,panire,3,1
3,2,A,Static,panire,4,0
3,2,A,Static,panire,5,1
3,2,A,Static,pahare,1,1
3,2,A,Static,pahare,2,1
3,2,A,Static,pahare,3,1
3,2,A,Static,pahare,4,1
3,2,A,Static,pahare,5,1
3,2,A,Static,detire,1,1
3,2,A,Static,detire,2,1
3,2,A,Static,detire,3,1
3,2,A,Static,detire,4,0
3,2,A,Static,detire,5,1
3,2,A,Static,cotire,1,1
3,2,A,Static,cotire,2,1
3,2,A,Static,cotire,3,1
3,2,A,Static,cotire,4,1
3,2,A,Static,cotire,5,1
3,2,A,Static,sutire,1,1
3,2,A,Static,sutire,2,1
3,2,A,Static,sutire,3,1
3,2,A,Static,sutire,4,1
3,2,A,Static,sutire,5,1
3,2,A,Static,socuo,1,1
3,2,A,Static,socuo,2,1
3,2,A,Static,socuo,3,1
3,2,A,Static,socuo,4,1
3,2,A,Static,socuo,5,1
3,2,A,Static,socuti,1,0
3,2,A,Static,socuti,2,1
3,2,A,Static,socuti,3,1
3,2,A,Static,socuti,4,1
3,2,A,Static,socuti,5,1
3,2,A,Static,socule,1,0
3,2,A,Static,socule,2,1
3,2,A,Static,socule,3,1
3,2,A,Static,socule,4,1
3,2,A,Static,socule,5,1
3,2,A,Static,soiata,1,1
3,2,A,Static,soiata,2,1
3,2,A,Static,soiata,3,1
3,2,A,Static,soiata,4,0
3,2,A,Static,soiata,5,1
3,2,A,Static,sorta,1,0
3,2,A,Static,sorta,2,1
3,2,A,Static,sorta,3,1
3,2,A,Static,sorta,4,1
3,2,A,Static,sorta,5,1
3,2,A,Static,soetta,1,1
3,2,A,Static,soetta,2,1
3,2,A,Static,soetta,3,1
3,2,A,Static,soetta,4,1
3,2,A,Static,soetta,5,1
3,2,A,Static,ficuta,1,0
3,2,A,Static,ficuta,2,1
3,2,A,Static,ficuta,3,1
3,2,A,Static,ficuta,4,1
3,2,A,Static,ficuta,5,1
