Participant,Session,List,Task,Word,Time,Score
1,1,A,Adaptive,patito,Immediate,0
1,1,A,Adaptive,patira,Immediate,0
1,1,A,Adaptive,patizi,Immediate,1
1,1,A,Adaptive,pacore,Immediate,0
1,1,A,Adaptive,panire,Immediate,1
1,1,A,Adaptive,pahare,Immediate,1
1,1,A,Adaptive,detire,Immediate,0
1,1,A,Adaptive,cotire,Immediate,0
1,1,A,Adaptive,sutire,Immediate,0
1,1,A,Adaptive,socuo,Immediate,1
1,1,A,Adaptive,socuti,Immediate,1
1,1,A,Adaptive,socule,Immediate,1
1,1,A,Adaptive,soiata,Immediate,1
1,1,A,Adaptive,sorta,Immediate,1
1,1,A,Adaptive,soetta,Immediate,1
1,1,A,Adaptive,ficuta,Immediate,1
1,1,A,Adaptive,scuta,Immediate,1
1,1,A,Adaptive,pecuta,Immediate,0
1,1,A,Adaptive,anbera,Immediate,1
1,1,A,Adaptive,anbetu,Immediate,1
1,1,A,Adaptive,anbesi,Immediate,1
1,1,A,Adaptive,ancano,Immediate,1
1,1,A,Adaptive,andono,Immediate,1
1,1,A,Adaptive,anuino,Immediate,1
1,1,A,Adaptive,rebeno,Immediate,0
1,1,A,Adaptive,sibeno,Immediate,1
1,1,A,Adaptive,cubeno,Immediate,1
1,1,A,Adaptive,patito,Retention,0
1,1,A,Adaptive,patira,Retention,0
1,1,A,Adaptive,patizi,Retention,0
1,1,A,Adaptive,pacore,Retention,0
1,1,A,Adaptive,panire,Retention,0
1,1,A,Adaptive,phahare,Retention,0
1,1,A,Adaptive,detire,Retention,0
1,1,A,Adaptive,cotire,Retention,0
1,1,A,Adaptive,sutire,Retention,0
1,1,A,Adaptive,socuo,Retention,1
1,1,A,Adaptive,socuti,Retention,0
1,1,A,Adaptive,socule,Retention,0
1,1,A,Adaptive,soiata,Retention,0
1,1,A,Adaptive,sorta,Retention,1
1,1,A,Adaptive,soetta,Retention,0
1,1,A,Adaptive,ficuta,Retention,0
1,1,A,Adaptive,scuta,Retention,0
1,1,A,Adaptive,pecuta,Retention,0
1,1,A,Adaptive,anbera,Retention,0
1,1,A,Adaptive,anbetu,Retention,0
1,1,A,Adaptive,anbesi,Retention,0
1,1,A,Adaptive,ancano,Retention,1
1,1,A,Adaptive,andono,Retention,0
1,1,A,Adaptive,anuino,Retention,0
1,1,A,Adaptive,rebeno,Retention,0
1,1,A,Adaptive,sibeno,Retention,0
1,1,A,Adaptive,cubeno,Retention,0
1,2,B,Static,chareka,Immediate,0
1,2,B,Static,charezo,Immediate,0
1,2,B,Static,charete,Immediate,1
1,2,B,Static,chauri,Immediate,0
1,2,B,Static,chakori,Immediate,1
1,2,B,Static,chamari,Immediate,1
1,2,B,Static,lireri,Immediate,0
1,2,B,Static,moreri,Immediate,0
1,2,B,Static,apreri,Immediate,1
1,2,B,Static,fiante,Immediate,0
1,2,B,Static,fiani,Immediate,0
1,2,B,Static,fianca,Immediate,0
1,2,B,Static,fipito,Immediate,0
1,2,B,Static,fiato,Immediate,0
1,2,B,Static,fimuto,Immediate,0
1,2,B,Static,canto,Immediate,0
1,2,B,Static,esanto,Immediate,1
1,2,B,Static,peanto,Immediate,1
1,2,B,Static,estome,Immediate,0
1,2,B,Static,estowa,Immediate,0
1,2,B,Static,estosi,Immediate,0
1,2,B,Static,esperu,Immediate,0
1,2,B,Static,escaru,Immediate,0
1,2,B,Static,esturu,Immediate,0
1,2,B,Static,imtoru,Immediate,0
1,2,B,Static,netoru,Immediate,0
1,2,B,Static,rotoru,Immediate,1
1,2,B,Static,chareka,Retention,0
1,2,B,Static,charezo,Retention,0
1,2,B,Static,charete,Retention,0
1,2,B,Static,chauri,Retention,0
1,2,B,Static,chakori,Retention,1
1,2,B,Static,chamari,Retention,1
1,2,B,Static,lireri,Retention,0
1,2,B,Static,moreri,Retention,0
1,2,B,Static,apreri,Retention,0
1,2,B,Static,fiante,Retention,0
1,2,B,Static,fiani,Retention,0
1,2,B,Static,fianca,Retention,0
1,2,B,Static,fipito,Retention,0
1,2,B,Static,fiato,Retention,0
1,2,B,Static,fimuto,Retention,0
1,2,B,Static,canto,Retention,0
1,2,B,Static,esanto,Retention,0
1,2,B,Static,peanto,Retention,1
1,2,B,Static,estome,Retention,0
1,2,B,Static,estowa,Retention,0
1,2,B,Static,estosi,Retention,0
1,2,B,Static,esperu,Retention,0
1,2,B,Static,escaru,Retention,0
1,2,B,Static,esturu,Retention,0
1,2,B,Static,imtoru,Retention,0
1,2,B,Static,netoru,Retention,0
1,2,B,Static,rotoru,Retention,0
2,1,A,Static,patito,Immediate,0
2,1,A,Static,patira,Immediate,0
2,1,A,Static,patizi,Immediate,0
2,1,A,Static,pacore,Immediate,1
2,1,A,Static,panire,Immediate,1
2,1,A,Static,pahare,Immediate,1
2,1,A,Static,detire,Immediate,0
2,1,A,Static,cotire,Immediate,0
2,1,A,Static,sutire,Immediate,1
2,1,A,Static,socuo,Immediate,0
2,1,A,Static,socuti,Immediate,1
2,1,A,Static,socule,Immediate,1
2,1,A,Static,soiata,Immediate,0
2,1,A,Static,sorta,Immediate,0
2,1,A,Static,soetta,Immediate,1
2,1,A,Static,ficuta,Immediate,1
2,1,A,Static,scuta,Immediate,1
2,1,A,Static,pecuta,Immediate,1
2,1,A,Static,anbera,Immediate,1
2,1,A,Static,anbetu,Immediate,1
2,1,A,Static,anbesi,Immediate,1
2,1,A,Static,ancano,Immediate,0
2,1,A,Static,andono,Immediate,1
2,1,A,Static,anuino,Immediate,0
2,1,A,Static,rebeno,Immediate,1
2,1,A,Static,sibeno,Immediate,1
2,1,A,Static,cubeno,Immediate,1
2,1,A,Static,patito,Retention,1
2,1,A,Static,patira,Retention,0
2,1,A,Static,patizi,Retention,0
2,1,A,Static,pacore,Retention,1
2,1,A,Static,panire,Retention,1
2,1,A,Static,pahare,Retention,0
2,1,A,Static,detire,Retention,1
2,1,A,Static,cotire,Retention,0
2,1,A,Static,sutire,Retention,0
2,1,A,Static,socuo,Retention,0
2,1,A,Static,socuti,Retention,1
2,1,A,Static,socule,Retention,1
2,1,A,Static,soiata,Retention,0
2,1,A,Static,sorta,Retention,1
2,1,A,Static,soetta,Retention,1
2,1,A,Static,ficuta,Retention,1
2,1,A,Static,scuta,Retention,1
2,1,A,Static,pecuta,Retention,1
2,1,A,Static,anbera,Retention,1
2,1,A,Static,anbetu,Retention,0
2,1,A,Static,anbesi,Retention,0
2,1,A,Static,ancano,Retention,0
2,1,A,Static,andono,Retention,1
2,1,A,Static,anuino,Retention,0
2,1,A,Static,rebeno,Retention,1
2,1,A,Static,sibeno,Retention,0
2,1,A,Static,cubeno,Retention,1
2,2,B,Adaptive,chareka,Immediate,1
2,2,B,Adaptive,charezo,Immediate,0
2,2,B,Adaptive,charete,Immediate,1
2,2,B,Adaptive,chauri,Immediate,1
2,2,B,Adaptive,chakori,Immediate,1
2,2,B,Adaptive,chamari,Immediate,0
2,2,B,Adaptive,lireri,Immediate,1
2,2,B,Adaptive,moreri,Immediate,1
2,2,B,Adaptive,apreri,Immediate,0
2,2,B,Adaptive,fiante,Immediate,0
2,2,B,Adaptive,fiani,Immediate,0
2,2,B,Adaptive,fianca,Immediate,1
2,2,B,Adaptive,fipito,Immediate,1
2,2,B,Adaptive,fiato,Immediate,1
2,2,B,Adaptive,fimuto,Immediate,1
2,2,B,Adaptive,canto,Immediate,1
2,2,B,Adaptive,esanto,Immediate,1
2,2,B,Adaptive,peanto,Immediate,1
2,2,B,Adaptive,estome,Immediate,1
2,2,B,Adaptive,estowa,Immediate,1
2,2,B,Adaptive,estosi,Immediate,1
2,2,B,Adaptive,esperu,Immediate,1
2,2,B,Adaptive,escaru,Immediate,1
