"""ITEM""","""TAG""","""IMAGE""","""SOUND""","""MARKDOWN""","""CONCEPT""","""X""","""Y"""
"""PATITO""","""en""","""""","""""","""""","""1""","""""",""""""
"""ZEE""","""nl""","""""","""""","""""","""1""","""""",""""""
"""PATIRA""","""en""","""""","""""","""""","""2""","""""",""""""
"""ENVELOP""","""nl""","""""","""""","""""","""2""","""""",""""""
"""PATIZI""","""en""","""""","""""","""""","""3""","""""",""""""
"""KIKKER""","""nl""","""""","""""","""""","""3""","""""",""""""
"""PACORE""","""en""","""""","""""","""""","""4""","""""",""""""
"""WIEL""","""nl""","""""","""""","""""","""4""","""""",""""""
"""PANIRE""","""en""","""""","""""","""""","""5""","""""",""""""
"""FABRIEK""","""nl""","""""","""""","""""","""5""","""""",""""""
"""PAHARE""","""en""","""""","""""","""""","""6""","""""",""""""
"""GEWEER""","""nl""","""""","""""","""""","""6""","""""",""""""
"""DETIRE""","""en""","""""","""""","""""","""7""","""""",""""""
"""HAND""","""nl""","""""","""""","""""","""7""","""""",""""""
"""COTIRE""","""en""","""""","""""","""""","""8""","""""",""""""
"""GRAS""","""nl""","""""","""""","""""","""8""","""""",""""""
"""SUTIRE""","""en""","""""","""""","""""","""9""","""""",""""""
"""BORD""","""nl""","""""","""""","""""","""9""","""""",""""""
"""SOCUO""","""en""","""""","""""","""""","""10""","""""",""""""
"""BRIEF""","""nl""","""""","""""","""""","""10""","""""",""""""
"""SOCUTI""","""en""","""""","""""","""""","""11""","""""",""""""
"""VOGEL""","""nl""","""""","""""","""""","""11""","""""",""""""
"""SOCULE""","""en""","""""","""""","""""","""12""","""""",""""""
"""STORM""","""nl""","""""","""""","""""","""12""","""""",""""""
"""SOIATA""","""en""","""""","""""","""""","""13""","""""",""""""
"""BOEK""","""nl""","""""","""""","""""","""13""","""""",""""""
"""SORTA""","""en""","""""","""""","""""","""14""","""""",""""""
"""TOUW""","""nl""","""""","""""","""""","""14""","""""",""""""
"""SOETTA""","""en""","""""","""""","""""","""15""","""""",""""""
"""ZAND""","""nl""","""""","""""","""""","""15""","""""",""""""
"""FICUTA""","""en""","""""","""""","""""","""16""","""""",""""""
"""VOET""","""nl""","""""","""""","""""","""16""","""""",""""""
"""SCUTA""","""en""","""""","""""","""""","""17""","""""",""""""
"""KAART""","""nl""","""""","""""","""""","""17""","""""",""""""
"""PECUTA""","""en""","""""","""""","""""","""18""","""""",""""""
"""DRAAD""","""nl""","""""","""""","""""","""18""","""""",""""""
"""ANBERA""","""en""","""""","""""","""""","""19""","""""",""""""
"""FEEST""","""nl""","""""","""""","""""","""19""","""""",""""""
"""ANBETU""","""en""","""""","""""","""""","""20""","""""",""""""
"""STRAND""","""nl""","""""","""""","""""","""20""","""""",""""""
"""ANBESI""","""en""","""""","""""","""""","""21""","""""",""""""
"""VINGER""","""nl""","""""","""""","""""","""21""","""""",""""""
"""ANCANO""","""en""","""""","""""","""""","""22""","""""",""""""
"""STAPEL""","""nl""","""""","""""","""""","""22""","""""",""""""
"""ANDONO""","""en""","""""","""""","""""","""23""","""""",""""""
"""BAKKER""","""nl""","""""","""""","""""","""23""","""""",""""""
"""ANUINO""","""en""","""""","""""","""""","""24""","""""",""""""
"""SCHIP""","""nl""","""""","""""","""""","""24""","""""",""""""
"""REBENO""","""en""","""""","""""","""""","""25""","""""",""""""
"""SPORT""","""nl""","""""","""""","""""","""25""","""""",""""""
"""SIBENO""","""en""","""""","""""","""""","""26""","""""",""""""
"""KAMER""","""nl""","""""","""""","""""","""26""","""""",""""""
"""CUBENO""","""en""","""""","""""","""""","""27""","""""",""""""
"""BROEK""","""nl""","""""","""""","""""","""27""","""""",""""""
