"""ITEM""","""TAG""","""IMAGE""","""SOUND""","""MARKDOWN""","""CONCEPT""","""X""","""Y"""
"""CHAREKA""","""en""","""""","""""","""""","""1""","""""",""""""
"""FLES""","""nl""","""""","""""","""""","""1""","""""",""""""
"""CHAREZO""","""en""","""""","""""","""""","""2""","""""",""""""
"""BRIL""","""nl""","""""","""""","""""","""2""","""""",""""""
"""CHARETE""","""en""","""""","""""","""""","""3""","""""",""""""
"""KERK""","""nl""","""""","""""","""""","""3""","""""",""""""
"""CHAURI""","""en""","""""","""""","""""","""4""","""""",""""""
"""DEUR""","""nl""","""""","""""","""""","""4""","""""",""""""
"""CHAKORI""","""en""","""""","""""","""""","""5""","""""",""""""
"""WORTEL""","""nl""","""""","""""","""""","""5""","""""",""""""
"""CHAMARI""","""en""","""""","""""","""""","""6""","""""",""""""
"""SLANG""","""nl""","""""","""""","""""","""6""","""""",""""""
"""LIRERI""","""en""","""""","""""","""""","""7""","""""",""""""
"""GAT""","""nl""","""""","""""","""""","""7""","""""",""""""
"""MORERI""","""en""","""""","""""","""""","""8""","""""",""""""
"""SCHAAR""","""nl""","""""","""""","""""","""8""","""""",""""""
"""APRERI""","""en""","""""","""""","""""","""9""","""""",""""""
"""GOUD""","""nl""","""""","""""","""""","""9""","""""",""""""
"""FIANTE""","""en""","""""","""""","""""","""10""","""""",""""""
"""PAARD""","""nl""","""""","""""","""""","""10""","""""",""""""
"""FIANI""","""en""","""""","""""","""""","""11""","""""",""""""
"""SLEUTEL""","""nl""","""""","""""","""""","""11""","""""",""""""
"""FIANCA""","""en""","""""","""""","""""","""12""","""""",""""""
"""MOND""","""nl""","""""","""""","""""","""12""","""""",""""""
"""FIPITO""","""en""","""""","""""","""""","""13""","""""",""""""
"""BERG""","""nl""","""""","""""","""""","""13""","""""",""""""
"""FIATO""","""en""","""""","""""","""""","""14""","""""",""""""
"""DRANK""","""nl""","""""","""""","""""","""14""","""""",""""""
"""FIMUTO""","""en""","""""","""""","""""","""15""","""""",""""""
"""EILAND""","""nl""","""""","""""","""""","""15""","""""",""""""
"""CANTO""","""en""","""""","""""","""""","""16""","""""",""""""
"""VLOER""","""nl""","""""","""""","""""","""16""","""""",""""""
"""ESANTO""","""en""","""""","""""","""""","""17""","""""",""""""
"""ZOLDER""","""nl""","""""","""""","""""","""17""","""""",""""""
"""PEANTO""","""en""","""""","""""","""""","""18""","""""",""""""
"""WINTER""","""nl""","""""","""""","""""","""18""","""""",""""""
"""ESTOME""","""en""","""""","""""","""""","""19""","""""",""""""
"""SCHOOL""","""nl""","""""","""""","""""","""19""","""""",""""""
"""ESTOWA""","""en""","""""","""""","""""","""20""","""""",""""""
"""GEZIN""","""nl""","""""","""""","""""","""20""","""""",""""""
"""ESTOSI""","""en""","""""","""""","""""","""21""","""""",""""""
"""KAPPER""","""nl""","""""","""""","""""","""21""","""""",""""""
"""ESPERU""","""en""","""""","""""","""""","""22""","""""",""""""
"""RECLAME""","""nl""","""""","""""","""""","""22""","""""",""""""
"""ESCARU""","""en""","""""","""""","""""","""23""","""""",""""""
"""KANTINE""","""nl""","""""","""""","""""","""23""","""""",""""""
"""ESTURU""","""en""","""""","""""","""""","""24""","""""",""""""
"""PRODUCT""","""nl""","""""","""""","""""","""24""","""""",""""""
"""IMTORU""","""en""","""""","""""","""""","""25""","""""",""""""
"""STATION""","""nl""","""""","""""","""""","""25""","""""",""""""
"""NETORU""","""en""","""""","""""","""""","""26""","""""",""""""
"""BROER""","""nl""","""""","""""","""""","""26""","""""",""""""
"""ROTORU""","""en""","""""","""""","""""","""27""","""""",""""""
"""BANK""","""nl""","""""","""""","""""","""27""","""""",""""""
